node_id,lon,lat
111,113.34578,23.148185
112,113.345517,23.148193
113,113.345188,23.148439
114,113.34496,23.14861
115,113.344507,23.149298
116,113.342159,23.151368
117,113.342268,23.151545
118,113.342375,23.151695
119,113.342451,23.151789
120,113.342536,23.151887
121,113.342659,23.152025
122,113.342766,23.152144
123,113.342864,23.152246
124,113.342976,23.152354
125,113.343082,23.152457
126,113.343216,23.152568
127,113.344105,23.153148
128,113.344261,23.153261
129,113.344386,23.153357
130,113.344539,23.153488
131,113.344719,23.153652
132,113.344948,23.153873
133,113.345087,23.154008
134,113.345209,23.154132
135,113.345323,23.154246
136,113.343666,23.152867
137,113.343751,23.152922
138,113.340272,23.157696
139,113.340262,23.157799
140,113.340255,23.157863
141,113.340238,23.158037
142,113.340211,23.158305
143,113.340204,23.158373
144,113.340181,23.15861
145,113.34017,23.158713
146,113.340138,23.15904
147,113.340766,23.157735
148,113.341634,23.157803
149,113.342417,23.157865
150,113.343786,23.157901
151,113.343834,23.157243
152,113.340081,23.157728
153,113.339969,23.157746
154,113.338698,23.15783
155,113.338564,23.157839
156,113.338429,23.157802
157,113.337796,23.157629
158,113.337654,23.157591
159,113.337289,23.157553
160,113.337208,23.157569
161,113.337112,23.157589
162,113.336381,23.158587
163,113.336507,23.158849
164,113.336595,23.15903
165,113.336643,23.159159
166,113.336886,23.159958
167,113.336923,23.160072
168,113.336964,23.160256
169,113.337008,23.160457
170,113.337088,23.160728
171,113.337249,23.161027
172,113.337488,23.16127
173,113.338047,23.161844
174,113.338101,23.161909
175,113.338155,23.161995
176,113.338467,23.162499
177,113.338404,23.163255
178,113.338361,23.163518
179,113.338296,23.164047
180,113.338232,23.164423
181,113.338195,23.164604
182,113.341106,23.149383
183,113.341243,23.149694
184,113.341318,23.149853
185,113.341398,23.150015
186,113.34144,23.150096
187,113.337883,23.15594
188,113.338082,23.15571
189,113.338252,23.155528
190,113.338328,23.155451
191,113.338659,23.15509
192,113.338718,23.155031
193,113.338822,23.154927
194,113.338971,23.15484
195,113.33819,23.164798
196,113.33823,23.165105
197,113.338272,23.165182
198,113.338293,23.165299
199,113.338345,23.165584
200,113.33833,23.16596
201,113.338212,23.166325
202,113.338153,23.166406
203,113.337917,23.16673
204,113.33784,23.166797
205,113.337536,23.167062
206,113.334167,23.168801
207,113.334591,23.168643
208,113.334835,23.168553
209,113.334885,23.168534
210,113.335099,23.168455
211,113.335445,23.168327
212,113.335578,23.168278
213,113.335643,23.168278
214,113.336119,23.168278
215,113.336626,23.16846
216,113.336753,23.168505
217,113.336929,23.168686
218,113.336986,23.168855
219,113.337145,23.16885
220,113.337567,23.168821
221,113.337575,23.168708
222,113.337579,23.167987
223,113.337563,23.167484
224,113.337543,23.167185
225,113.338903,23.166403
226,113.33893,23.166991
227,113.339819,23.166428
228,113.340137,23.166227
229,113.340492,23.165955
230,113.340554,23.166155
231,113.340553,23.166123
232,113.340549,23.166056
233,113.340537,23.166019
234,113.340514,23.165985
235,113.340435,23.165924
236,113.340374,23.165905
237,113.340266,23.165892
238,113.340114,23.165882
239,113.339789,23.165876
240,113.339642,23.165864
241,113.339497,23.165827
242,113.339355,23.165776
243,113.339254,23.165732
244,113.339161,23.165669
245,113.339091,23.165604
246,113.338897,23.165389
247,113.338522,23.164976
248,113.338357,23.164793
249,113.338115,23.164471
250,113.338032,23.16435
251,113.337981,23.164286
252,113.337917,23.164216
253,113.337831,23.164137
254,113.337685,23.164009
255,113.337569,23.16391
256,113.337357,23.163735
257,113.337094,23.163535
258,113.336784,23.1633
259,113.336581,23.163133
260,113.336451,23.163028
261,113.335438,23.162179
262,113.335338,23.162146
263,113.335237,23.162134
264,113.335168,23.162126
265,113.335066,23.162106
266,113.334908,23.162062
267,113.334702,23.161969
268,113.334196,23.161737
269,113.334039,23.161667
270,113.333892,23.161595
271,113.333797,23.161535
272,113.333764,23.161482
273,113.333753,23.161413
274,113.333741,23.161338
275,113.333728,23.161269
276,113.333712,23.16122
277,113.333682,23.161179
278,113.333561,23.161074
279,113.333259,23.160827
280,113.332719,23.160382
281,113.332579,23.160266
282,113.337309,23.167061
283,113.336908,23.167164
284,113.336473,23.167277
285,113.336152,23.167371
286,113.336053,23.167441
287,113.336012,23.167469
288,113.335663,23.167716
289,113.335253,23.167885
290,113.335138,23.167933
291,113.33493,23.168023
292,113.334775,23.16809
293,113.33466,23.16814
294,113.334451,23.168333
295,113.342578,23.151568
296,113.342674,23.151612
297,113.34275,23.151682
298,113.342798,23.15177
299,113.342804,23.151867
300,113.34277,23.152254
301,113.342764,23.152328
302,113.342747,23.152515
303,113.342644,23.152594
304,113.342534,23.152646
305,113.342412,23.152662
306,113.341193,23.154084
307,113.341191,23.154047
308,113.34118,23.153906
309,113.341079,23.153725
310,113.340918,23.153547
311,113.340824,23.153444
312,113.340765,23.153378
313,113.340532,23.153121
314,113.340517,23.153105
315,113.34032,23.152888
316,113.339999,23.152427
317,113.339869,23.152185
318,113.339607,23.151558
319,113.339422,23.151224
320,113.339187,23.151001
321,113.341921,23.154196
322,113.342024,23.1542
323,113.342286,23.154211
324,113.342404,23.152807
325,113.342354,23.153395
326,113.342343,23.153537
327,113.34233,23.153687
328,113.342349,23.154217
329,113.34255,23.154234
330,113.342638,23.154242
331,113.343386,23.154307
332,113.344005,23.154314
333,113.344056,23.154315
334,113.344918,23.154332
335,113.345043,23.154303
336,113.345131,23.154249
337,113.344953,23.153994
338,113.344995,23.153954
339,113.345049,23.153929
340,113.345109,23.153922
341,113.345168,23.153934
342,113.345216,23.15396
343,113.345254,23.154
344,113.345276,23.15405
345,113.34528,23.154103
346,113.345265,23.154155
347,113.345232,23.154199
348,113.345186,23.154232
349,113.345073,23.154249
350,113.345018,23.154232
351,113.344971,23.1542
352,113.344938,23.154154
353,113.344923,23.1541
354,113.344928,23.154045
355,113.335909,23.17232
356,113.335873,23.172186
357,113.335847,23.172134
358,113.335761,23.172034
359,113.335994,23.171829
360,113.336387,23.171565
361,113.336468,23.171497
362,113.336487,23.17127
363,113.336552,23.170663
364,113.336552,23.170281
365,113.336531,23.170082
366,113.336458,23.169509
367,113.336375,23.169046
368,113.336407,23.168955
369,113.334844,23.16869
370,113.335013,23.168776
371,113.33574,23.168559
372,113.335746,23.168672
373,113.335751,23.168763
374,113.335761,23.168939
375,113.335592,23.170081
376,113.335605,23.169595
377,113.335594,23.16928
378,113.335877,23.169152
379,113.343368,23.154606
380,113.343345,23.154975
381,113.343341,23.15504
382,113.343321,23.155362
383,113.343313,23.155491
384,113.343311,23.155529
385,113.343282,23.15589
386,113.343225,23.156598
387,113.338711,23.15464
388,113.338488,23.153899
389,113.338406,23.153699
390,113.338253,23.153225
391,113.33825,23.153138
392,113.338225,23.152876
393,113.338182,23.152653
394,113.338125,23.151774
395,113.338108,23.151001
396,113.338675,23.151026
397,113.33795,23.150983
398,113.337547,23.150893
399,113.3372,23.150796
400,113.336706,23.150779
401,113.335939,23.167042
402,113.33588,23.167037
403,113.334565,23.1676
404,113.33463,23.167814
405,113.334731,23.168006
406,113.334631,23.168046
407,113.334596,23.167932
408,113.334467,23.167518
409,113.334429,23.167436
410,113.334415,23.16714
411,113.334369,23.166771
412,113.334907,23.166574
413,113.335667,23.16626
414,113.33574,23.166279
415,113.335994,23.166346
416,113.336015,23.166419
417,113.33604,23.166509
418,113.336029,23.166612
419,113.336008,23.16681
420,113.335947,23.166977
421,113.335926,23.167144
422,113.336011,23.167341
423,113.336671,23.165886
424,113.336988,23.165595
425,113.337446,23.165427
426,113.337635,23.16537
427,113.336786,23.166241
428,113.336818,23.166327
429,113.336988,23.16675
430,113.337026,23.166816
431,113.337155,23.16695
432,113.337153,23.16679
433,113.337479,23.166513
434,113.337512,23.166483
435,113.337782,23.166234
436,113.337913,23.165938
437,113.337955,23.165625
438,113.337899,23.165419
439,113.337844,23.165294
440,113.337712,23.165079
441,113.337413,23.164839
442,113.337365,23.164809
443,113.337161,23.164684
444,113.336811,23.164538
445,113.336738,23.164513
