u,v,walk_dis_m,car_dis_m
581,582,55,55
582,581,55,55
582,583,15,15
583,582,15,15
583,584,41,41
584,583,41,41
584,585,23,23
585,584,23,23
585,586,25,25
586,585,25,25
586,587,26,26
587,586,26,26
587,588,14,14
588,587,14,14
588,146,121,121
146,588,121,121
146,589,59,59
589,146,59,59
589,590,83,83
590,589,83,83
148,591,66,66
591,148,66,66
591,592,19,19
592,591,19,19
592,593,6,6
593,592,6,6
593,590,51,51
590,593,51,51
50,594,31,31
594,50,31,31
594,595,24,24
595,594,24,24
595,596,25,25
596,595,25,25
596,597,20,20
597,596,20,20
597,598,13,13
598,597,13,13
598,599,10,10
599,598,10,10
599,600,36,36
600,599,36,36
600,601,26,26
601,600,26,26
601,602,41,41
602,601,41,41
602,603,50,50
603,602,50,50
603,604,100,100
604,603,100,100
604,605,4,4
605,604,4,4
605,606,3,3
606,605,3,3
606,607,3,3
607,606,3,3
607,608,27,27
608,607,27,27
598,609,26,26
609,598,26,26
609,610,21,21
610,609,21,21
610,611,12,12
611,610,12,12
611,612,6,6
612,611,6,6
612,613,26,26
613,612,26,26
613,602,11,11
602,613,11,11
381,614,43,43
614,381,43,43
614,615,33,33
615,614,33,33
615,616,16,16
616,615,16,16
616,617,21,21
617,616,21,21
617,618,12,12
618,617,12,12
618,619,11,11
619,618,11,11
619,620,35,35
620,619,35,35
620,621,13,13
621,620,13,13
621,622,15,15
622,621,15,15
622,623,13,13
623,622,13,13
623,624,25,25
624,623,25,25
624,625,21,21
625,624,21,21
625,626,10,10
626,625,10,10
626,627,5,5
627,626,5,5
627,628,12,12
628,627,12,12
628,629,26,26
629,628,26,26
629,630,20,20
630,629,20,20
91,631,7,2000000000
631,91,7,2000000000
631,632,47,2000000000
632,631,47,2000000000
632,633,14,2000000000
633,632,14,2000000000
633,634,43,2000000000
634,633,43,2000000000
634,635,18,2000000000
635,634,18,2000000000
636,637,17,2000000000
637,636,17,2000000000
637,638,26,2000000000
638,637,26,2000000000
638,639,10,2000000000
639,638,10,2000000000
640,641,22,2000000000
641,640,22,2000000000
641,642,18,2000000000
642,641,18,2000000000
642,643,5,2000000000
643,642,5,2000000000
643,644,4,2000000000
644,643,4,2000000000
644,645,2,2000000000
645,644,2,2000000000
645,646,4,2000000000
646,645,4,2000000000
646,647,17,2000000000
647,646,17,2000000000
647,648,6,2000000000
648,647,6,2000000000
648,649,20,2000000000
649,648,20,2000000000
649,650,4,2000000000
650,649,4,2000000000
651,652,38,2000000000
652,651,38,2000000000
652,653,14,2000000000
653,652,14,2000000000
653,654,66,2000000000
654,653,66,2000000000
654,655,14,2000000000
655,654,14,2000000000
655,656,20,2000000000
656,655,20,2000000000
655,657,34,2000000000
657,655,34,2000000000
657,658,4,2000000000
658,657,4,2000000000
658,659,7,2000000000
659,658,7,2000000000
659,660,15,2000000000
660,659,15,2000000000
660,661,11,2000000000
661,660,11,2000000000
661,662,28,2000000000
662,661,28,2000000000
662,663,11,2000000000
663,662,11,2000000000
663,664,9,2000000000
664,663,9,2000000000
665,34,74,74
34,665,74,74
479,666,42,2000000000
666,479,42,2000000000
666,667,22,2000000000
667,666,22,2000000000
667,668,6,2000000000
668,667,6,2000000000
668,669,16,2000000000
669,668,16,2000000000
